ID,Type,Name,Train ,Test ,Class,Length,Datapoints,TS2Vec(B4),TS2Vec(B8),TS2Vec(B16),T-Loss,TNC,TS-TCC,TST,DTW,,,
33,Image,HandOutlines,1000,370,2,2709,2709000,0.919,0.922,0.93,0.922,0.93,0.724,0.735,0.881,,,
30,Sensor,FordB,3636,810,2,500,1818000,0.789,0.794,0.807,0.793,0.733,0.815,0.507,0.62,,,
29,Sensor,FordA,3601,1320,2,500,1800500,0.94,0.936,0.948,0.928,0.902,0.93,0.568,0.555,,,
49,ECG,NonInvasiveFetalECGThorax1,1800,1965,42,750,1350000,0.923,0.93,0.919,0.878,0.898,0.898,0.471,0.79,,,
50,ECG,NonInvasiveFetalECGThorax2,1800,1965,42,750,1350000,0.94,0.938,0.935,0.919,0.912,0.913,0.832,0.865,,,
66,Sensor,StarLightCurves,1000,8236,3,1024,1024000,0.97,0.969,0.971,0.964,0.968,0.967,0.949,0.907,,,
98,Spectro,EthanolLevel,504,500,4,1751,882504,0.48,0.468,0.484,0.382,0.424,0.486,0.26,0.276,,,
23,Device,ElectricDevices,8926,7711,7,96,856896,0.712,0.721,0.719,0.707,0.7,0.686,0.676,0.602,,,
76,Motion,UWaveGestureLibraryAll,896,3582,8,945,846720,0.934,0.93,0.934,0.896,0.903,0.692,0.475,0.892,,,
120,Device,PLAID,537,537,11,1344,721728,0.551,0.561,0.549,0.555,0.495,0.445,0.419,0.84,,,
124,Spectrum,SemgHandMovementCh2,450,450,6,1500,675000,0.893,0.86,0.891,0.789,0.593,0.613,0.42,0.584,,,
125,Spectrum,SemgHandSubjectCh2,450,450,5,1500,675000,0.944,0.951,0.942,0.853,0.771,0.753,0.484,0.727,,,
114,Image,MixedShapesRegularTrain,500,2425,5,1024,512000,0.915,0.917,0.922,0.905,0.911,0.855,0.879,0.842,,,
97,EOG,EOGVerticalSignal,362,362,12,1250,452500,0.467,0.503,0.472,0.434,0.392,0.376,0.298,0.448,,,
96,EOG,EOGHorizontalSignal,362,362,12,1250,452500,0.544,0.539,0.522,0.605,0.442,0.401,0.373,0.503,,,
123,Spectrum,SemgHandGenderCh2,300,600,2,1500,450000,0.952,0.963,0.962,0.89,0.882,0.837,0.725,0.802,,,
92,Image,Crop,7200,16800,24,46,331200,0.753,0.756,0.753,0.722,0.738,0.742,0.71,0.665,,,
62,Image,ShapesAll,600,600,60,512,307200,0.897,0.902,0.905,0.848,0.788,0.773,0.733,0.768,,,
78,Motion,UWaveGestureLibraryY,896,3582,8,315,282240,0.729,0.719,0.72,0.71,0.697,0.641,0.348,0.634,,,
79,Motion,UWaveGestureLibraryZ,896,3582,8,315,282240,0.761,0.77,0.768,0.757,0.721,0.69,0.655,0.658,,,
77,Motion,UWaveGestureLibraryX,896,3582,8,315,282240,0.81,0.795,0.801,0.785,0.781,0.733,0.569,0.728,,,
60,Device,ScreenType,375,375,3,720,270000,0.405,0.411,0.397,0.416,0.509,0.419,0.419,0.397,,,
59,Device,RefrigerationDevices,375,375,3,720,270000,0.587,0.589,0.589,0.515,0.565,0.563,0.483,0.464,,,
63,Device,SmallKitchenAppliances,375,375,3,720,270000,0.723,0.731,0.733,0.677,0.725,0.691,0.592,0.643,,,
39,Device,LargeKitchenAppliances,375,375,3,720,270000,0.845,0.845,0.875,0.789,0.776,0.848,0.595,0.795,,,
54,Sensor,Phoneme,214,1896,39,1024,219136,0.296,0.312,0.309,0.276,0.18,0.242,0.139,0.228,,,
117,Hemodynamics,PigAirwayPressure,104,208,52,2000,208000,0.524,0.63,0.683,0.51,0.413,0.38,0.12,0.106,,,
119,Hemodynamics,PigCVP,104,208,52,2000,208000,0.803,0.812,0.87,0.788,0.649,0.615,0.596,0.154,,,
118,Hemodynamics,PigArtPressure,104,208,52,2000,208000,0.962,0.966,0.966,0.928,0.808,0.524,0.774,0.245,,,
36,Motion,InlineSkate,100,550,7,1882,188200,0.389,0.415,0.407,0.371,0.378,0.347,0.287,0.384,,,
11,Device,Computers,250,250,2,720,180000,0.636,0.66,0.66,0.664,0.684,0.704,0.696,0.7,,,
34,Motion,Haptics,155,308,5,1092,169260,0.51,0.526,0.536,0.49,0.474,0.396,0.357,0.377,,,
19,Sensor,Earthquakes,322,139,2,512,164864,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.719,,,
83,Motion,Worms,181,77,5,900,162900,0.701,0.701,0.701,0.727,0.623,0.753,0.455,0.584,,,
84,Motion,WormsTwoClass,181,77,2,900,162900,0.805,0.805,0.753,0.792,0.727,0.753,0.584,0.623,,,
80,Sensor,Wafer,1000,6164,2,152,152000,0.995,0.998,0.997,0.992,0.994,0.994,0.991,0.98,,,
89,Sensor,AllGestureWiimoteZ,300,700,10,500,150000,0.734,0.746,0.77,0.723,0.646,0.689,0.447,0.643,,,
87,Sensor,AllGestureWiimoteX,300,700,10,500,150000,0.744,0.777,0.751,0.763,0.703,0.697,0.259,0.716,,,
88,Sensor,AllGestureWiimoteY,300,700,10,500,150000,0.764,0.793,0.774,0.726,0.699,0.741,0.423,0.729,,,
86,Device,ACSF1,100,100,10,1460,146000,0.84,0.9,0.91,0.9,0.73,0.73,0.76,0.64,,,
67,Spectro,Strawberry,613,370,2,235,144055,0.962,0.962,0.965,0.954,0.951,0.965,0.916,0.941,,,
53,Image,PhalangesOutlinesCorrect,1800,858,2,80,144000,0.795,0.809,0.823,0.784,0.787,0.804,0.773,0.728,,,
75,Simulated,TwoPatterns,1000,4000,4,128,128000,1,1,1,0.999,1,0.999,0.466,1,,,
85,Image,Yoga,300,3000,2,426,127800,0.88,0.887,0.877,0.837,0.812,0.791,0.83,0.837,,,
27,Image,FiftyWords,450,455,50,270,121500,0.771,0.771,0.774,0.732,0.653,0.653,0.525,0.69,,,
13,Motion,CricketY,390,390,12,300,117000,0.756,0.749,0.769,0.728,0.597,0.718,0.467,0.744,,,
12,Motion,CricketX,390,390,12,300,117000,0.8,0.782,0.805,0.713,0.623,0.731,0.385,0.754,,,
14,Motion,CricketZ,390,390,12,300,117000,0.785,0.792,0.79,0.708,0.682,0.713,0.403,0.754,,,
115,Image,MixedShapesSmallTrain,100,2425,5,1024,102400,0.881,0.861,0.856,0.86,0.813,0.735,0.828,0.78,,,
52,Image,OSULeaf,200,242,6,427,85400,0.876,0.851,0.843,0.76,0.723,0.723,0.545,0.591,,,
28,Image,Fish,175,175,7,463,81025,0.937,0.926,0.937,0.891,0.817,0.817,0.72,0.823,,,
110,Device,HouseTwenty,40,119,2,2000,80000,0.941,0.916,0.941,0.933,0.782,0.79,0.815,0.924,,,
8,Sensor,ChlorineConcentration,467,3840,3,166,77522,0.81,0.832,0.812,0.749,0.76,0.753,0.562,0.648,,,
104,Trajectory,GestureMidAirD3,208,130,26,360,74880,0.346,0.292,0.3,0.285,0.292,0.177,0.154,0.323,,,
103,Trajectory,GestureMidAirD2,208,130,26,360,74880,0.508,0.469,0.515,0.546,0.362,0.254,0.138,0.608,,,
102,Trajectory,GestureMidAirD1,208,130,26,360,74880,0.631,0.608,0.615,0.608,0.431,0.369,0.208,0.569,,,
24,Image,FaceAll,560,1690,14,131,73360,0.759,0.771,0.805,0.786,0.766,0.813,0.504,0.808,,,
82,Image,WordSynonyms,267,638,25,270,72090,0.699,0.676,0.753,0.691,0.63,0.531,0.422,0.649,,,
21,ECG,ECG5000,500,4500,5,140,70000,0.935,0.935,0.934,0.933,0.937,0.941,0.928,0.924,,,
1,Image,Adiac,390,391,37,176,68640,0.775,0.762,0.765,0.675,0.726,0.767,0.55,0.604,,,
106,Sensor,GesturePebbleZ2,146,158,6,455,66430,0.842,0.873,0.848,0.899,0.316,0.43,0.38,0.671,,,
9,Sensor,CinCECGTorso,40,1380,4,1639,65560,0.812,0.827,0.825,0.713,0.669,0.671,0.508,0.651,,,
68,Image,SwedishLeaf,500,625,15,128,64000,0.939,0.941,0.942,0.914,0.88,0.923,0.738,0.792,,,
105,Sensor,GesturePebbleZ1,132,172,6,455,60060,0.878,0.93,0.884,0.919,0.378,0.395,0.5,0.791,,,
122,Spectrum,Rock,20,50,4,2844,56880,0.66,0.7,0.7,0.58,0.58,0.6,0.68,0.6,,,
37,Sensor,InsectWingbeatSound,220,1980,11,256,56320,0.629,0.63,0.624,0.597,0.549,0.415,0.266,0.355,,,
42,Simulated,Mallat,55,2345,8,1024,56320,0.915,0.914,0.873,0.951,0.871,0.922,0.713,0.934,,,
17,Image,DistalPhalanxOutlineCorrect,600,276,2,80,48000,0.775,0.761,0.757,0.775,0.754,0.754,0.728,0.717,,,
46,Image,MiddlePhalanxOutlineCorrect,600,291,2,80,48000,0.811,0.838,0.825,0.825,0.818,0.818,0.753,0.698,,,
57,Image,ProximalPhalanxOutlineCorrect,600,291,2,80,48000,0.876,0.887,0.9,0.859,0.866,0.873,0.77,0.784,,,
32,Spectro,Ham,109,105,2,431,46979,0.714,0.714,0.724,0.724,0.752,0.743,0.524,0.467,,,
99,Sensor,FreezerRegularTrain,150,2850,2,301,45150,0.985,0.986,0.983,0.956,0.991,0.989,0.922,0.899,,,
40,Sensor,Lightning2,60,61,2,637,38220,0.836,0.869,0.82,0.869,0.869,0.836,0.705,0.869,,,
44,Image,MedicalImages,381,760,10,99,37719,0.792,0.789,0.793,0.75,0.754,0.747,0.632,0.737,,,
111,EPG,InsectEPGRegularTrain,62,249,3,601,37262,1,1,1,1,1,1,1,0.872,,,
6,Sensor,Car,60,60,4,577,34620,0.883,0.833,0.7,0.833,0.683,0.583,0.55,0.733,,,0.899092593
35,Image,Herring,64,64,2,512,32768,0.625,0.641,0.609,0.594,0.594,0.594,0.594,0.531,,,
45,Image,MiddlePhalanxOutlineAgeGroup,400,154,3,80,32000,0.636,0.636,0.63,0.656,0.643,0.63,0.617,0.5,,,
18,Image,DistalPhalanxTW,400,139,6,80,32000,0.662,0.698,0.683,0.676,0.669,0.676,0.568,0.59,,,
16,Image,DistalPhalanxOutlineAgeGroup,400,139,3,80,32000,0.719,0.727,0.719,0.727,0.741,0.755,0.741,0.77,,,
58,Image,ProximalPhalanxTW,400,205,6,80,32000,0.785,0.824,0.805,0.771,0.81,0.8,0.78,0.761,,,
56,Image,ProximalPhalanxOutlineAgeGroup,400,205,3,80,32000,0.844,0.834,0.829,0.844,0.854,0.839,0.854,0.805,,,
47,Image,MiddlePhalanxTW,399,154,6,80,31920,0.591,0.584,0.578,0.591,0.571,0.61,0.506,0.506,,,
113,Traffic,MelbournePedestrian,1194,2439,10,24,28656,0.954,0.959,0.956,0.944,0.942,0.949,0.741,0.791,,,
73,Sensor,Trace,100,100,4,275,27500,1,1,1,0.99,1,1,1,1,,,
43,Spectro,Meat,60,60,3,448,26880,0.95,0.95,0.967,0.95,0.917,0.883,0.9,0.933,,,
26,Image,FacesUCR,200,2050,14,131,26200,0.93,0.924,0.926,0.884,0.789,0.863,0.543,0.905,,,
121,Power,PowerCons,180,180,2,144,25920,0.967,0.961,0.972,0.9,0.933,0.961,0.911,0.878,,,
93,Sensor,DodgerLoopDay,78,80,7,288,22464,0.425,0.562,0.5,0,0,0,0.2,0.5,,,
41,Sensor,Lightning7,70,73,7,319,22330,0.836,0.863,0.822,0.795,0.767,0.685,0.411,0.726,,,
109,Motion,GunPointOldVersusYoung,136,315,2,150,20400,1,1,1,1,1,1,1,0.838,,,
107,Motion,GunPointAgeSpan,135,316,2,150,20250,0.994,0.987,0.968,0.994,0.984,0.994,0.991,0.918,,,
108,Motion,GunPointMaleVersusFemale,135,316,2,150,20250,1,1,1,0.997,0.994,0.997,1,0.997,,,
126,Sensor,ShakeGestureWiimoteZ,50,50,10,385,19250,0.94,0.94,0.92,0.92,0.82,0.86,0.76,0.86,,,
116,Sensor,PickupGestureWiimoteZ,50,50,10,361,18050,0.8,0.82,0.76,0.74,0.62,0.6,0.24,0.66,,,
70,Simulated,SyntheticControl,300,300,6,60,18000,0.997,0.997,0.993,0.987,1,0.99,0.49,0.993,,,
51,Spectro,OliveOil,30,30,4,570,17100,0.9,0.9,0.9,0.867,0.833,0.8,0.8,0.833,,,
55,Sensor,Plane,105,105,7,144,15120,1,1,0.99,0.99,1,1,0.933,1,,,
3,Spectro,Beef,30,30,5,470,14100,0.767,0.767,0.633,0.667,0.733,0.6,0.5,0.633,,,
81,Spectro,Wine,57,54,2,234,13338,0.778,0.87,0.889,0.815,0.759,0.778,0.5,0.574,,,
72,Motion,ToeSegmentation2,36,130,2,343,12348,0.915,0.892,0.9,0.9,0.831,0.877,0.615,0.838,,,
71,Motion,ToeSegmentation1,40,228,2,277,11080,0.93,0.917,0.947,0.939,0.864,0.93,0.807,0.772,,,
5,Image,BirdChicken,20,20,2,512,10240,0.8,0.8,0.8,0.85,0.75,0.65,0.65,0.75,,,
4,Image,BeetleFly,20,20,2,512,10240,0.85,0.9,0.9,0.8,0.85,0.8,1,0.7,,,
112,EPG,InsectEPGSmallTrain,17,249,3,601,10217,1,1,1,1,1,1,1,0.735,,,
61,Simulated,ShapeletSim,20,180,2,500,10000,0.989,1,0.994,0.672,0.589,0.683,0.489,0.65,,,
69,Image,Symbols,25,995,6,398,9950,0.973,0.976,0.972,0.963,0.885,0.916,0.786,0.95,,,
20,ECG,ECG200,100,100,2,96,9600,0.89,0.92,0.88,0.94,0.83,0.88,0.83,0.77,,,
2,Image,ArrowHead,36,175,3,251,9036,0.823,0.857,0.817,0.766,0.703,0.737,0.771,0.703,,,
100,Sensor,FreezerSmallTrain,28,2850,2,301,8428,0.894,0.87,0.872,0.933,0.982,0.979,0.92,0.753,,,
25,Image,FaceFour,24,88,4,350,8400,0.864,0.932,0.932,0.92,0.659,0.773,0.511,0.83,,,
10,Spectro,Coffee,28,28,2,286,8008,1,1,1,1,1,1,0.821,1,,,
31,Motion,GunPoint,50,150,2,150,7500,0.983,0.98,0.987,0.98,0.967,0.993,0.827,0.907,,,
94,Sensor,DodgerLoopGame,20,138,2,288,5760,0.826,0.841,0.819,0,0,0,0.696,0.877,,,
95,Sensor,DodgerLoopWeekend,20,138,2,288,5760,0.942,0.964,0.942,0,0,0,0.732,0.949,,,
15,Image,DiatomSizeReduction,16,306,4,345,5520,0.983,0.984,0.987,0.984,0.993,0.977,0.961,0.967,,,
128,Simulated,UMD,36,144,3,150,5400,1,1,0.993,0.993,0.993,0.986,0.91,0.993,,,
90,Simulated,BME,30,150,3,128,3840,0.973,0.993,0.98,0.993,0.973,0.933,0.76,0.9,,,
7,Simulated,CBF,30,900,3,128,3840,1,1,1,0.983,0.983,0.998,0.898,0.997,,,
101,HRM,Fungi,18,186,18,201,3618,0.962,0.957,0.946,1,0.527,0.753,0.366,0.839,,,
22,ECG,ECGFiveDays,23,861,2,136,3128,1,1,1,1,0.999,0.878,0.763,0.768,,,
127,Simulated,SmoothSubspace,150,150,3,15,2250,0.967,0.98,0.993,0.96,0.913,0.953,0.827,0.827,,,
74,ECG,TwoLeadECG,23,1139,2,82,1886,0.982,0.986,0.987,0.999,0.993,0.976,0.871,0.905,,,
65,Sensor,SonyAIBORobotSurface2,27,953,2,65,1755,0.89,0.871,0.889,0.889,0.834,0.907,0.745,0.831,,,
48,Sensor,MoteStrain,20,1252,2,84,1680,0.857,0.861,0.863,0.851,0.825,0.843,0.768,0.835,,,
38,Sensor,ItalyPowerDemand,67,1029,2,24,1608,0.961,0.925,0.96,0.954,0.928,0.955,0.845,0.95,,,
64,Sensor,SonyAIBORobotSurface1,20,601,2,70,1400,0.874,0.903,0.9,0.902,0.804,0.899,0.724,0.725,,,
91,Traffic,Chinatown,20,343,2,24,480,0.968,0.965,0.959,0.951,0.977,0.983,0.936,0.957,,,
